,Ticker,Name,Field
0,ARKK,ARK Innovation ETF,ARKK: ARK Innovation ETF
1,ARKW,ARK Next Generation Internet ETF,ARKW: ARK Next Generation Internet ETF
2,KOMP,SPDR S&P Kensho New Economies Composite ETF,KOMP: SPDR S&P Kensho New Economies Composite ETF
3,ARKF,ARK Fintech Innovation ETF,ARKF: ARK Fintech Innovation ETF
4,IBUY,Amplify Online Retail ETF,IBUY: Amplify Online Retail ETF
5,EMQQ,EMQQ The Emerging Markets Internet & Ecommerce ETF,EMQQ: EMQQ The Emerging Markets Internet & Ecommerce ETF
6,ROBO,ROBO Global Robotics and Automation Index ETF,ROBO: ROBO Global Robotics and Automation Index ETF
7,SOXX,iShares PHLX Semiconductor ETF,SOXX: iShares PHLX Semiconductor ETF
8,WCLD,WisdomTree Cloud Computing Fund,WCLD: WisdomTree Cloud Computing Fund
9,PNQI,Invesco NASDAQ Internet ETF,PNQI: Invesco NASDAQ Internet ETF
10,SP 500,SP 500,SP 500 Index
